IDTIPOPOST,IDPOST,TIPO
1,1,imagen
2,2,post
3,3,noticia
4,4,noticia
5,5,imagen
6,6,post
7,7,imagen
8,8,imagen
9,9,noticia
10,10,post
11,11,noticia
12,12,post
13,13,noticia
14,14,noticia
15,15,post
16,16,noticia
17,17,post
18,18,post
19,19,noticia
20,20,imagen
21,21,post
22,22,post
23,23,post
24,24,imagen
25,25,noticia
26,26,imagen
27,27,post
28,28,noticia
29,29,noticia
30,30,post
31,31,noticia
32,32,noticia
33,33,imagen
34,34,noticia
35,35,noticia
36,36,post
37,37,post
38,38,post
39,39,noticia
40,40,post
41,41,post
42,42,noticia
43,43,imagen
44,44,noticia
45,45,imagen
46,46,noticia
47,47,imagen
48,48,post
49,49,imagen
50,50,noticia
51,51,post
52,52,imagen
53,53,imagen
54,54,noticia
55,55,imagen
56,56,noticia
57,57,noticia
58,58,noticia
59,59,imagen
60,60,imagen
61,61,post
62,62,imagen
63,63,post
64,64,imagen
65,65,imagen
66,66,noticia
67,67,noticia
68,68,noticia
69,69,post
70,70,imagen
71,71,imagen
72,72,noticia
73,73,post
74,74,imagen
75,75,post
76,76,post
77,77,noticia
78,78,post
79,79,imagen
80,80,post
81,81,imagen
82,82,post
83,83,imagen
84,84,noticia
85,85,imagen
86,86,noticia
87,87,post
88,88,imagen
89,89,post
90,90,post
91,91,imagen
92,92,noticia
93,93,imagen
94,94,noticia
95,95,post
96,96,noticia
97,97,post
98,98,post
99,99,post
100,100,imagen
