IDUSERPROPIETARIO,IDUSERAGREGADA,IDUSERAMIGO
54,59,1
77,96,2
48,81,3
36,18,4
45,56,5
66,32,6
25,63,7
58,88,8
62,44,9
68,76,10
7,45,11
84,71,12
21,27,13
14,68,14
39,21,15
30,47,16
59,8,17
25,73,18
95,84,19
75,35,20
65,14,21
6,97,22
4,71,23
56,25,24
23,51,25
37,86,26
7,30,27
97,85,28
96,68,29
26,95,30
9,59,31
64,47,32
24,4,33
21,67,34
61,41,35
54,13,36
73,55,37
91,53,38
30,90,39
16,86,40
26,77,41
96,20,42
73,81,43
91,86,44
39,64,45
92,76,46
34,20,47
16,37,48
38,43,49
31,33,50
17,46,51
49,55,52
68,63,53
62,47,54
73,40,55
44,39,56
40,80,57
15,78,58
95,85,59
27,30,60
92,2,61
78,18,62
55,59,63
6,42,64
9,53,65
40,30,66
25,40,67
56,56,68
76,44,69
27,90,70
38,9,71
77,43,72
8,39,73
19,90,74
31,31,75
48,38,76
38,99,77
71,95,78
29,10,79
78,85,80
47,3,81
64,16,82
24,55,83
28,46,84
3,98,85
83,97,86
13,85,87
49,46,88
13,2,89
63,78,90
55,68,91
38,39,92
21,28,93
57,45,94
26,100,95
54,56,96
59,6,97
17,58,98
90,22,99
54,34,100
